Scheme Name,Category,Details,Benefits,Eligibility,Exclusions,Application Process,Official Website
Pradhan Mantri Awas Yojana (PMAY),Housing,"Affordable housing for urban and rural poor","Subsidized housing loans, financial assistance","Low-income groups, EWS, LIG, MIG","Income above specified limits, already owning a house","Apply online via PMAY portal, submit documents","https://pmaymis.gov.in/"
Ayushman Bharat,Healthcare,"Health insurance for poor and vulnerable families","Free treatment up to INR 5 Lakhs","Families below poverty line, economically weaker sections","Income above threshold, not in SECC 2011","Apply at hospitals or online via PMJAY portal","https://pmjay.gov.in/"
MUDRA Yojana,Employment,"Loans for small/micro enterprises","Loans up to INR 10 Lakhs for MSMEs","Small business owners, entrepreneurs","Large enterprises, businesses with high turnover","Apply via MUDRA portal or at partnering banks","https://www.mudra.org.in/"
PM Kisan Yojana,Agriculture,"Income support to farmers","INR 6000 per year in installments","Small/marginal farmers with land holdings up to 2 hectares","Landowners above 2 hectares","Apply via PM Kisan portal or Common Service Centers","https://pmkisan.gov.in/"
Ujala Yojana,Energy,"Affordable energy-saving LED bulbs for households","Energy-efficient LED bulbs at reduced rates","All households","None","Buy LEDs from registered distribution centers","https://ujala.gov.in/"
Swachh Bharat Mission,Sanitation,"Promote cleanliness, sanitation, and eliminating open defecation","Funding for building toilets, sanitation awareness","All rural and urban households","None","Apply via local municipal offices or online","https://swachhbharatmission.gov.in/"
National Health Mission,Healthcare,"Improve healthcare access in rural and urban areas","Free/subsidized healthcare, maternal care, vaccinations","All citizens, focus on rural and low-income groups","None","Access through registered public healthcare centers","https://nhm.gov.in/"
Atal Pension Yojana,Pension,"Pension scheme for unorganized sector workers","Guaranteed pension up to INR 5000 per month","Citizens aged 18-40, contribution-based","Income taxpayers, existing pensioners","Register through bank/post office","https://www.npscra.nsdl.co.in/scheme-details.php"
Pradhan Mantri Jan Dhan Yojana,Banking,"Financial inclusion through bank accounts for the unbanked","Zero balance accounts, RuPay card, overdraft facility","All citizens, especially rural and low-income groups","People with existing bank accounts","Open accounts at banks or post offices","https://pmjdy.gov.in/"
Stand Up India,Entrepreneurship,"Promotes entrepreneurship among women, SC/ST communities","Loans between INR 10 Lakh to 1 crore","Women, SC/ST entrepreneurs","Non-SC/ST men","Apply through Stand Up India portal or at partner banks","https://www.standupmitra.in/"
National Social Assistance Programme,Social Welfare,"Financial support for elderly, widows, and disabled persons","Pension scheme for senior citizens, widows, and disabled","People below the poverty line","Income above poverty threshold","Apply through local administration offices","https://nsap.nic.in/"
Sarva Shiksha Abhiyan,Education,"Universal access to elementary education","Free primary education for children aged 6-14","All children aged 6-14","None","Enroll in local government schools","https://samagra.education.gov.in/"
Mid-Day Meal Scheme,Education,"Nutritional support for school children","Free meals to children in government and aided schools","Children aged 6-14","None","Meal provided in schools","https://mdm.nic.in/"
Pradhan Mantri Fasal Bima Yojana,Agriculture,"Crop insurance for farmers","Coverage for crop damage due to natural calamities","All farmers who grow insurable crops","Non-agricultural landowners","Apply through insurance companies or banks","https://pmfby.gov.in/"
Digital India Program,Technology,"Promote digital literacy and internet access","Free/subsidized digital literacy programs, internet services","All citizens, focus on rural areas","None","Apply via Digital India portal or local service centers","https://digitalindia.gov.in/"
Make In India,Manufacturing,"Encourages manufacturing and industrial growth in India","Incentives for manufacturers, easier FDI regulations","Domestic and foreign companies","Non-manufacturing businesses","Register via Make in India portal","https://www.makeinindia.com/"
Skill India Program,Skill Development,"Vocational training and skill development for youth","Free or subsidized skill training courses","Youth aged 18-35","None","Register through Skill India portal or training centers","https://www.skillindia.gov.in/"
Pradhan Mantri Kaushal Vikas Yojana (PMKVY),Skill Development,"Skill development for employment generation","Financial support for vocational training","Unemployed youth, school/college dropouts","Employed individuals, people with formal education","Apply through training centers","https://pmkvyofficial.org/"
Rashtriya Krishi Vikas Yojana,Agriculture,"Increase productivity in agriculture and allied sectors","Financial grants to farmers, agricultural schemes","All farmers","Non-farming households","Apply via state agricultural departments","https://rkvy.nic.in/"
National Rural Livelihood Mission,Rural Development,"Improving livelihood options in rural areas","Self-employment and entrepreneurship support","Rural poor households, SHGs","Urban residents, high-income families","Apply via local government units or NRLM portal","https://aajeevika.gov.in/"
Beti Bachao Beti Padhao,Women Empowerment,"Promotes education and protection of the girl child","Awareness programs, financial support for education","All girl children, focus on underprivileged communities","None","Participate via local government offices or online","https://wcd.nic.in/bbbp-scheme"
